
     Program DYNMAT v.6.4 starts on  7Jan2021 at 20:25:31 

     This program is part of the open-source Quantum ESPRESSO suite
     for quantum simulation of materials; please cite
         "P. Giannozzi et al., J. Phys.:Condens. Matter 21 395502 (2009);
         "P. Giannozzi et al., J. Phys.:Condens. Matter 29 465901 (2017);
          URL http://www.quantum-espresso.org", 
     in publications or presentations arising from this work. More details at
     http://www.quantum-espresso.org/quote

     Parallel version (MPI), running on    16 processors

     MPI processes distributed on     1 nodes
     R & G space division:  proc/nbgrp/npool/nimage =      16

     Reading Dynamical Matrix from file AlPO3_3.dynG
     ...Force constants read
     ...epsilon and Z* read
     ...Raman cross sections read
     Acoustic Sum Rule: || Z*(ASR) - Z*(orig)|| =    7.217650E-02
     Acoustic Sum Rule: ||dyn(ASR) - dyn(orig)||=    1.195549E-01
     A direction for q was not specified:TO-LO splitting will be absent

     Polarizability (A^3 units)
     multiply by 0.667384 for Clausius-Mossotti correction
       301.277472   -0.000700   -0.000700
        -0.000700  301.277472   -0.000700
        -0.000700   -0.000700  301.277472

     IR activities are in (D/A)^2/amu units
     Raman activities are in A^4/amu units
     multiply Raman by 0.445401 for Clausius-Mossotti correction

# mode   [cm-1]    [THz]      IR          Raman   depol.fact
  279    354.22   10.6193    0.5819         0.1720    0.7500
  280    357.87   10.7287    2.2085         0.0070    0.7500
  281    357.87   10.7287    2.2085         0.0070    0.7500
  282    359.70   10.7837    0.8439         1.6661    0.7491
  283    360.64   10.8116   12.9053         0.1277    0.7500
  284    360.64   10.8116   12.9053         0.1277    0.7500
  285    361.54   10.8386    5.4131         0.3042    0.7500
  286    361.54   10.8386    5.4131         0.3042    0.7500
  287    362.99   10.8822    0.1871         0.6189    0.3236
  288    364.24   10.9195    0.4219         0.7254    0.0583
  289    365.46   10.9562   22.5814         0.7740    0.7500
  290    365.46   10.9562   22.5814         0.7740    0.7500
  291    365.91   10.9696    0.0622         0.0788    0.0288
  292    368.20   11.0384   11.6152         0.3670    0.7500
  293    368.20   11.0384   11.6152         0.3670    0.7500
  294    370.12   11.0961   45.9887         0.7565    0.7500
  295    370.12   11.0961   45.9887         0.7565    0.7500
  296    373.35   11.1928   25.0435         0.5075    0.7500
  297    373.35   11.1928   25.0435         0.5075    0.7500
  298    373.48   11.1967    1.5877        11.2746    0.0038
  299    375.81   11.2664    0.0326        29.3556    0.0085
  300    376.09   11.2748    6.9039         0.2857    0.7500
  301    376.09   11.2748    6.9039         0.2857    0.7500
  302    377.02   11.3029    0.0392         1.0560    0.4232
  303    378.68   11.3526    0.0575         4.3112    0.0821
  304    380.48   11.4066   13.6779         0.2678    0.7500
  305    380.48   11.4066   13.6779         0.2678    0.7500
  306    381.71   11.4434    2.1571         0.3307    0.0057
  307    384.76   11.5349   25.0706         1.5417    0.7500
  308    384.76   11.5349   25.0706         1.5417    0.7500
  309    387.25   11.6093   24.9730         2.3104    0.2558
  310    388.74   11.6541   63.0193         0.7824    0.7500
  311    388.74   11.6541   63.0193         0.7824    0.7500
  312    389.41   11.6741    4.1843         0.9756    0.5551
  313    390.96   11.7206    0.0311         0.7055    0.0162
  314    391.90   11.7487   96.1229         5.9769    0.7224
  315    393.55   11.7984    6.9980         1.8864    0.7500
  316    393.55   11.7984    6.9980         1.8864    0.7500
  317    395.87   11.8678    0.8462         4.0851    0.7500
  318    395.87   11.8678    0.8462         4.0851    0.7500
  319    400.49   12.0065    1.1196         9.0976    0.7500
  320    400.49   12.0065    1.1196         9.0976    0.7500
  321    405.26   12.1493    2.3535         5.8557    0.7500
  322    405.26   12.1493    2.3535         5.8557    0.7500
  323    405.49   12.1562    2.6647         1.4224    0.0141
  324    408.78   12.2548    0.5821         1.3560    0.0052
  325    409.71   12.2829   13.0885        13.3455    0.7500
  326    409.71   12.2829   13.0885        13.3455    0.7500
  327    412.15   12.3558    1.6912         3.8019    0.0050
  328    414.55   12.4279    0.2907         0.2811    0.7500
  329    414.55   12.4279    0.2907         0.2811    0.7500
  330    415.06   12.4430    1.8407         1.4448    0.2572
  331    416.09   12.4739    0.5819         1.7222    0.7087
  332    418.55   12.5479   26.5362         8.4259    0.3759
  333    419.96   12.5901    0.8001         0.8497    0.7500
  334    419.96   12.5901    0.8001         0.8497    0.7500
  335    420.94   12.6195    3.8654         3.4410    0.0016
  336    422.06   12.6530    0.6872         4.6579    0.7500
  337    422.06   12.6530    0.6872         4.6579    0.7500
  338    422.98   12.6807   12.7761         6.7223    0.1314
  339    424.54   12.7274   27.9886         0.3241    0.5035
  340    427.56   12.8180    8.1077         3.7613    0.7500
  341    427.56   12.8180    8.1077         3.7613    0.7500
  342    428.85   12.8566   57.6935         0.7514    0.0027
  343    431.39   12.9327   62.1391         3.1188    0.2890
  344    433.01   12.9814    4.4846        36.3825    0.1079
  345    438.47   13.1449    0.4166         0.0853    0.7500
  346    438.47   13.1449    0.4166         0.0853    0.7500
  347    438.97   13.1601    1.2967         2.6020    0.0952
  348    439.72   13.1825    0.9513         0.1602    0.7500
  349    439.72   13.1825    0.9513         0.1602    0.7500
  350    440.37   13.2019    2.0487         1.3530    0.0361
  351    442.77   13.2739    0.0505         0.2136    0.7500
  352    442.77   13.2739    0.0505         0.2136    0.7500
  353    443.49   13.2955    0.0202         0.0879    0.7500
  354    443.49   13.2955    0.0202         0.0879    0.7500
  355    450.77   13.5136    0.0760         0.4935    0.7500
  356    450.77   13.5136    0.0760         0.4935    0.7500
  357    453.04   13.5819    1.0270         0.7355    0.4899
  358    454.51   13.6259    5.4682        21.0737    0.6966
  359    457.27   13.7085    4.9042        11.2617    0.5716
  360    460.98   13.8200    0.0002         8.3380    0.5289
  361    461.60   13.8386    2.1576         6.0746    0.6992
  362    470.52   14.1059    1.9032         2.8831    0.7500
  363    470.52   14.1059    1.9032         2.8831    0.7500
  364    476.01   14.2705    0.2499         0.1755    0.7500
  365    476.01   14.2705    0.2499         0.1755    0.7500
  366    476.01   14.2705    0.2523       178.6098    0.0002
  367    479.89   14.3867    0.0629         0.2014    0.7500
  368    479.89   14.3867    0.0629         0.2014    0.7500
  369    491.30   14.7289    0.1556         0.2951    0.1827
  370    492.19   14.7556    0.0068         2.8401    0.0071
  371    493.83   14.8048    0.0362         0.8896    0.0056
  372    496.05   14.8711    0.1313         0.0342    0.7500
  373    496.05   14.8711    0.1313         0.0342    0.7500
  374    500.44   15.0027    0.0351         0.7544    0.6768
  375    500.89   15.0162    0.0104         0.0091    0.7500
  376    500.89   15.0162    0.0104         0.0091    0.7500
  377    503.16   15.0842    0.1294         0.0639    0.7500
  378    503.16   15.0842    0.1294         0.0639    0.7500
  379    504.41   15.1218    0.9295         2.8233    0.4116
  380    515.16   15.4440    0.0360         3.5382    0.0003
  381    519.11   15.5624    0.0942         0.4982    0.0080
  382    522.83   15.6742    0.0002         3.4325    0.0000
  383    526.72   15.7908    0.0002         0.3748    0.0093
  384    526.99   15.7986    0.2288         5.4716    0.7500
  385    526.99   15.7986    0.2288         5.4716    0.7500
  386    530.30   15.8979    0.3263         0.1089    0.7500
  387    530.30   15.8979    0.3263         0.1089    0.7500
  388    534.55   16.0255    0.8276         0.1633    0.7500
  389    534.55   16.0255    0.8276         0.1633    0.7500
  390    536.25   16.0764    0.1186         0.0422    0.1251
  391    541.21   16.2250    3.4281         0.3480    0.7500
  392    541.21   16.2250    3.4281         0.3480    0.7500
  393    546.69   16.3894    0.2624         0.9318    0.7500
  394    546.69   16.3894    0.2624         0.9318    0.7500
  395    555.73   16.6603    2.3533         0.0918    0.7500
